10	0.000146824
20	0.000259597
30	0.000626738
40	0.000505989
50	0.000610081
60	0.000817894
70	0.00102074
80	0.00131563
90	0.00163668
100	0.00200877
110	0.002209
120	0.00237636
130	0.0026385
140	0.00298352
150	0.00328901
160	0.00346276
170	0.00358074
180	0.00401388
190	0.00448
200	0.00497136
210	0.00548441
220	0.00602336
230	0.0065931
240	0.00718192
250	0.0078047
260	0.0097548
270	0.00910607
280	0.00979645
290	0.0105125
300	0.0112569
310	0.0120433
320	0.0128079
330	0.0136361
340	0.0145525
350	0.0154231
360	0.0162419
370	0.0171593
380	0.0181121
390	0.0190753
400	0.0200663
410	0.0211071
420	0.0221486
430	0.0232293
440	0.0244744
450	0.0265855
460	0.02664
470	0.0277649
480	0.0290001
490	0.0302104
500	0.0316204
510	0.0327176
520	0.0341657
530	0.0368302
540	0.0375676
550	0.0390848
560	0.0395221
570	0.0410085
580	0.0423605
590	0.043876
600	0.0458408
610	0.0487712
620	0.0484681
630	0.0502444
640	0.0516374
650	0.0532455
660	0.055067
670	0.057402
680	0.0583208
690	0.0600735
700	0.0619868
710	0.0638006
720	0.0675163
730	0.0673612
740	0.0691885
750	0.0711441
760	0.0748632
770	0.0750473
780	0.0770517
790	0.0790497
800	0.0817511
810	0.0829465
820	0.0852016
830	0.0871218
840	0.090035
850	0.091376
860	0.0939621
870	0.0978911
880	0.0984061
890	0.100355
900	0.104948
910	0.10496
920	0.107534
930	0.111219
940	0.111949
950	0.115576
960	0.116905
970	0.119534
980	0.123242
990	0.126319
1000	0.130227
